Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_04,Edge Chromium 134.0.3124.72,,,21-03-2025 09:06:06,21-03-2025 09:16:13,10m - 6.222s,FAILED
,,,,,,,
Test Cases/TC_Amazon_CreatingAWishlist_014,Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:37,21-03-2025 09:11:46,1m - 8.681s,FAILED
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:37,21-03-2025 09:10:42,4.822s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:42,21-03-2025 09:10:46,4.732s,PASSED
"mouseOver(findTestObject(""Amazon_AddingAProductToWishlist_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/span_Account  Lists""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:46,21-03-2025 09:10:49,2.246s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:49,21-03-2025 09:10:50,1.712s,PASSED
"setText(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_/input_IN 91_email""), ""8765257308"")",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:50,21-03-2025 09:10:52,1.486s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_/input_Passkey error_a-button-input""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:52,21-03-2025 09:10:54,2.358s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Amazon Sign In/input_Forgot password_password""), ""FJEEn2Q6rEqImg+RR4ytGA=="")",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:54,21-03-2025 09:10:55,0.909s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:55,21-03-2025 09:10:56,0.521s,PASSED
delay(10),Edge Chromium 134.0.3124.72,,,21-03-2025 09:10:56,21-03-2025 09:11:06,10.009s,PASSED
"mouseOver(findTestObject(""Amazon_AddingAProductToWishlist_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/span_Account  Lists""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:06,21-03-2025 09:11:06,0.518s,PASSED
"click(findTestObject(""Amazon_AddingAProductToWishlist_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Create a Wish List""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:06,21-03-2025 09:11:09,2.848s,PASSED
"setText(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Wish List/input_List name (required)_list-name""), ""Books"")",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:09,21-03-2025 09:11:11,2.378s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Wish List/input_Create a Baby Wishlist_a-button-input_b3c86b""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:11,21-03-2025 09:11:43,31.859s,FAILED
"mouseOver(findTestObject(""Amazon_AddingAProductToWishlist_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/span_Account  Lists""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:43,21-03-2025 09:11:44,0.483s,PASSED
"click(findTestObject(""Object Repository/Amazon_AddingAProductToWishlist_OR/Page_Amazon.in/span_Sign Out""))",Edge Chromium 134.0.3124.72,,,21-03-2025 09:11:44,21-03-2025 09:11:46,1.707s,FAILED
,,,,,,,
