Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_02,Firefox 136.0.2,,,20-03-2025 21:01:22,20-03-2025 22:03:23,1h - 2m - 0.614s,FAILED
,,,,,,,
Test Cases/TC_Amazon_ValidateLogo_004,Firefox 136.0.2,,,20-03-2025 21:01:22,20-03-2025 21:02:03,40.352s,PASSED
"openBrowser("""")",Firefox 136.0.2,,,20-03-2025 21:01:23,20-03-2025 21:01:31,8.095s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Firefox 136.0.2,,,20-03-2025 21:01:31,20-03-2025 21:01:38,6.805s,PASSED
delay(10),Firefox 136.0.2,,,20-03-2025 21:01:38,20-03-2025 21:01:48,10.115s,PASSED
"verifyElementPresent(findTestObject(""Amazon_ValidateLogo_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/div_in""), 0)",Firefox 136.0.2,,,20-03-2025 21:01:48,20-03-2025 21:01:48,0.564s,PASSED
"verifyElementVisible(findTestObject(""Amazon_ValidateLogo_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/div_in""))",Firefox 136.0.2,,,20-03-2025 21:01:48,20-03-2025 21:01:49,0.377s,PASSED
takeScreenshot(),Firefox 136.0.2,,,20-03-2025 21:01:49,20-03-2025 21:01:49,0.679s,PASSED
takeFullPageScreenshot(),Firefox 136.0.2,,,20-03-2025 21:01:49,20-03-2025 21:02:01,11.386s,PASSED
closeBrowser(),Firefox 136.0.2,,,20-03-2025 21:02:01,20-03-2025 21:02:03,1.921s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateFooterLinks_005,Firefox 136.0.2,,,20-03-2025 21:26:20,20-03-2025 21:37:48,11m - 27.564s,PASSED
"openBrowser("""")",Firefox 136.0.2,,,20-03-2025 21:26:20,20-03-2025 21:26:25,4.100s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Firefox 136.0.2,,,20-03-2025 21:26:25,20-03-2025 21:26:39,14.696s,PASSED
delay(10),Firefox 136.0.2,,,20-03-2025 21:26:39,20-03-2025 21:26:49,10.010s,PASSED
"click(findTestObject(""Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_About Amazon""))",Firefox 136.0.2,,,20-03-2025 21:26:49,20-03-2025 21:27:03,13.296s,PASSED
back(),Firefox 136.0.2,,,20-03-2025 21:27:03,20-03-2025 21:27:06,3.623s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Careers""))",Firefox 136.0.2,,,20-03-2025 21:27:06,20-03-2025 21:27:20,13.682s,PASSED
back(),Firefox 136.0.2,,,20-03-2025 21:27:20,20-03-2025 21:27:24,3.817s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Press Releases""))",Firefox 136.0.2,,,20-03-2025 21:27:24,20-03-2025 21:27:37,13.521s,PASSED
back(),Firefox 136.0.2,,,20-03-2025 21:27:37,20-03-2025 21:27:37,0.013s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon Science""))",Firefox 136.0.2,,,20-03-2025 21:27:37,20-03-2025 21:29:16,1m - 38.577s,PASSED
back(),Firefox 136.0.2,,,20-03-2025 21:29:16,20-03-2025 21:29:17,1.561s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Facebook""))",Firefox 136.0.2,,,20-03-2025 21:29:17,20-03-2025 21:29:31,13.463s,PASSED
back(),Firefox 136.0.2,,,20-03-2025 21:29:31,20-03-2025 21:29:31,0.259s,PASSED
