Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_02,Firefox 136.0.2,,,21-03-2025 10:15:41,21-03-2025 11:04:31,48m - 50.303s,FAILED
,,,,,,,
Test Cases/TC_Amazon_ValidateLogo_004,Firefox 136.0.2,,,21-03-2025 10:15:42,21-03-2025 10:16:49,1m - 7.141s,PASSED
"openBrowser("""")",Firefox 136.0.2,,,21-03-2025 10:15:43,21-03-2025 10:16:10,26.919s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Firefox 136.0.2,,,21-03-2025 10:16:10,21-03-2025 10:16:14,3.640s,PASSED
delay(10),Firefox 136.0.2,,,21-03-2025 10:16:14,21-03-2025 10:16:24,10.111s,PASSED
"verifyElementPresent(findTestObject(""Amazon_ValidateLogo_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/div_in""), 0)",Firefox 136.0.2,,,21-03-2025 10:16:24,21-03-2025 10:16:25,1.030s,PASSED
"verifyElementVisible(findTestObject(""Amazon_ValidateLogo_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/div_in""))",Firefox 136.0.2,,,21-03-2025 10:16:25,21-03-2025 10:16:26,0.726s,PASSED
takeScreenshot(),Firefox 136.0.2,,,21-03-2025 10:16:26,21-03-2025 10:16:26,0.791s,PASSED
takeFullPageScreenshot(),Firefox 136.0.2,,,21-03-2025 10:16:26,21-03-2025 10:16:44,17.786s,PASSED
closeBrowser(),Firefox 136.0.2,,,21-03-2025 10:16:44,21-03-2025 10:16:49,5.047s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateFooterLinks_005,Firefox 136.0.2,,,21-03-2025 10:27:58,21-03-2025 10:43:57,15m - 58.303s,FAILED
"openBrowser("""")",Firefox 136.0.2,,,21-03-2025 10:27:58,21-03-2025 10:28:19,20.784s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Firefox 136.0.2,,,21-03-2025 10:28:19,21-03-2025 10:28:26,7.012s,PASSED
delay(10),Firefox 136.0.2,,,21-03-2025 10:28:26,21-03-2025 10:28:36,10.060s,PASSED
"click(findTestObject(""Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_About Amazon""))",Firefox 136.0.2,,,21-03-2025 10:28:36,21-03-2025 10:28:53,16.946s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:28:53,21-03-2025 10:28:57,3.459s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Careers""))",Firefox 136.0.2,,,21-03-2025 10:28:57,21-03-2025 10:29:12,15.144s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:29:12,21-03-2025 10:29:16,4.311s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Press Releases""))",Firefox 136.0.2,,,21-03-2025 10:29:16,21-03-2025 10:29:29,12.437s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:29:29,21-03-2025 10:29:29,0.084s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon Science""))",Firefox 136.0.2,,,21-03-2025 10:29:29,21-03-2025 10:30:03,33.915s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:30:03,21-03-2025 10:31:13,1m - 10.542s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Facebook""))",Firefox 136.0.2,,,21-03-2025 10:31:13,21-03-2025 10:32:03,49.616s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:32:03,21-03-2025 10:32:07,4.019s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Twitter""))",Firefox 136.0.2,,,21-03-2025 10:32:07,21-03-2025 10:32:17,10.471s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:32:17,21-03-2025 10:32:18,0.997s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Instagram""))",Firefox 136.0.2,,,21-03-2025 10:32:18,21-03-2025 10:32:31,12.357s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:32:31,21-03-2025 10:32:32,1.145s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Sell on Amazon""))",Firefox 136.0.2,,,21-03-2025 10:32:32,21-03-2025 10:32:52,20.217s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:32:52,21-03-2025 10:32:53,1.506s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Sell under Amazon Accelerator""))",Firefox 136.0.2,,,21-03-2025 10:32:53,21-03-2025 10:33:18,24.748s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:33:18,21-03-2025 10:33:20,1.336s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Protect and Build Your Brand""))",Firefox 136.0.2,,,21-03-2025 10:33:20,21-03-2025 10:33:33,13.108s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:33:33,21-03-2025 10:33:33,0.055s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon Global Selling""))",Firefox 136.0.2,,,21-03-2025 10:33:33,21-03-2025 10:34:41,1m - 7.967s,FAILED
back(),Firefox 136.0.2,,,21-03-2025 10:34:41,21-03-2025 10:34:51,10.213s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Supply to Amazon""))",Firefox 136.0.2,,,21-03-2025 10:34:51,21-03-2025 10:35:15,24.413s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:35:15,21-03-2025 10:35:17,1.233s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Become an Affiliate""))",Firefox 136.0.2,,,21-03-2025 10:35:17,21-03-2025 10:35:48,31.087s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:35:48,21-03-2025 10:35:49,1.150s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Fulfilment by Amazon""))",Firefox 136.0.2,,,21-03-2025 10:35:49,21-03-2025 10:36:05,15.779s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:36:05,21-03-2025 10:36:07,2.357s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Advertise Your Products""))",Firefox 136.0.2,,,21-03-2025 10:36:07,21-03-2025 10:36:23,16.438s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:36:23,21-03-2025 10:36:23,0.058s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon Pay on Merchants""))",Firefox 136.0.2,,,21-03-2025 10:36:23,21-03-2025 10:37:35,1m - 11.320s,FAILED
back(),Firefox 136.0.2,,,21-03-2025 10:37:35,21-03-2025 10:37:40,4.850s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Your Account""))",Firefox 136.0.2,,,21-03-2025 10:37:40,21-03-2025 10:37:51,11.743s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:37:51,21-03-2025 10:37:52,0.808s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Returns Centre""))",Firefox 136.0.2,,,21-03-2025 10:37:52,21-03-2025 10:38:04,11.988s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:38:04,21-03-2025 10:38:08,3.691s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Recalls and Product Safety Alerts""))",Firefox 136.0.2,,,21-03-2025 10:38:08,21-03-2025 10:38:18,10.379s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:38:18,21-03-2025 10:38:19,0.872s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_100 Purchase Protection""))",Firefox 136.0.2,,,21-03-2025 10:38:19,21-03-2025 10:38:29,9.895s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:38:29,21-03-2025 10:38:30,0.839s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon App Download""))",Firefox 136.0.2,,,21-03-2025 10:38:30,21-03-2025 10:38:39,9.642s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:38:39,21-03-2025 10:38:40,0.471s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/a_Help""))",Firefox 136.0.2,,,21-03-2025 10:38:40,21-03-2025 10:38:49,8.933s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:38:49,21-03-2025 10:38:51,2.582s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_English""))",Firefox 136.0.2,,,21-03-2025 10:38:51,21-03-2025 10:39:09,17.217s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:39:09,21-03-2025 10:39:10,1.142s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_India""))",Firefox 136.0.2,,,21-03-2025 10:39:10,21-03-2025 10:39:34,23.918s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:39:34,21-03-2025 10:39:35,1.087s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Books, art collectibles""))",Firefox 136.0.2,,,21-03-2025 10:39:35,21-03-2025 10:39:47,12.343s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:39:47,21-03-2025 10:39:51,3.444s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_DesignerFashion Brands""))",Firefox 136.0.2,,,21-03-2025 10:39:51,21-03-2025 10:40:06,15.061s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:40:06,21-03-2025 10:40:10,4.221s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Scalable CloudComputing Services""))",Firefox 136.0.2,,,21-03-2025 10:40:10,21-03-2025 10:40:33,22.629s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:40:33,21-03-2025 10:40:37,4.425s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateFooterLinks_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Everything ForYour Business""))",Firefox 136.0.2,,,21-03-2025 10:40:37,21-03-2025 10:41:09,31.892s,PASSED
back(),Firefox 136.0.2,,,21-03-2025 10:41:09,21-03-2025 10:41:13,4.367s,PASSED
